,id,goals,own_goals,shots,xG,time,player_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder
0,619928,0,0,0,0,90,2090,148,GK,Marc-André ter Stegen,h,0,0,0,0,0,0,0,0.02325536124408245,0.02325536124408245,1
1,619931,0,0,1,0.07281102985143661,90,8091,148,DC,Ronald Araújo,h,0,0,0,0,0,0,0,0,0,3
2,619929,0,0,0,0,90,200,148,DC,Andreas Christensen,h,0,0,0,0,0,0,0,0.04295586794614792,0.04295586794614792,3
3,619930,0,0,1,0.09640434384346008,90,2484,148,DC,Iñigo Martínez,h,0,0,0,0,0,0,0,0.10742563754320145,0.10742563754320145,3
4,619932,0,0,1,0.0977792888879776,79,2379,148,MR,João Cancelo,h,0,0,619942,0,1,0,0.06672355532646179,0.20520491898059845,0.040702082216739655,8
5,619934,0,0,2,0.08342060446739197,90,9804,148,MC,Gavi,h,0,0,0,0,1,0,0.09907364845275879,0.1420295238494873,0,9
6,619933,1,0,1,0.548054039478302,90,314,148,MC,Ilkay Gündogan,h,0,0,0,0,0,0,0,0.715732753276825,0.16767875850200653,9
7,619935,0,0,0,0,90,9805,148,ML,Álex Balde,h,0,0,0,0,0,0,0,0,0,10
8,619936,0,0,2,0.13977573812007904,74,11822,148,AMC,Fermín López,h,1,0,619941,0,1,0,0.09640434384346008,0.13977573812007904,0,12
9,619937,0,0,1,0.06672355532646179,79,7892,148,FW,João Félix,h,0,0,619939,0,0,0,0,0.06672355532646179,0,15
10,619938,0,0,0,0,63,6441,148,FW,Ferrán Torres,h,1,0,619940,0,1,0,0.040702082216739655,0.040702082216739655,0.040702082216739655,15
11,619940,0,0,1,0.026943601667881012,27,227,148,Sub,Robert Lewandowski,h,0,0,0,619938,0,0,0,0.050198961049318314,0.02325536124408245,17
12,619941,0,0,1,0.045056793838739395,16,842,148,Sub,Oriol Romeu,h,0,0,0,619936,1,0,0.04295586794614792,0.08801266551017761,0.04295586794614792,17
13,619939,0,0,2,0.1312207132577896,11,8026,148,Sub,Raphinha,h,0,0,0,619937,2,0,0.050198961049318314,0.22437553107738495,0.04295586794614792,17
14,619942,0,0,1,0.02325536124408245,11,11527,148,Sub,Lamine Yamal,h,0,0,0,619932,1,0,0.08581344038248062,0.17896828055381775,0.06989946961402893,17
15,619943,0,0,0,0,90,5061,150,GK,Kepa,a,0,0,0,0,0,0,0,0.023411521688103676,0.023411521688103676,1
16,619944,0,0,1,0.04960490018129349,90,2260,150,DR,Daniel Carvajal,a,1,0,0,0,0,0,0,0.7529350519180298,0.7529350519180298,2
17,619946,0,0,1,0.014506889507174492,90,1822,150,DC,Antonio Rüdiger,a,0,0,0,0,1,0,0.05323920026421547,0.7565693855285645,0.6888232827186584,3
18,619945,0,0,0,0,90,391,150,DC,David Alaba,a,0,0,0,0,1,0,0.015305796638131142,0.6096020936965942,0.6096020936965942,3
19,619947,0,0,0,0,54,6233,150,DL,Ferland Mendy,a,0,0,619955,0,0,0,0,0.014506889507174492,0.014506889507174492,4
20,619948,0,0,1,0.01309794932603836,90,6560,150,DMC,Aurelien Tchouameni,a,0,0,0,0,0,0,0,0.7529350519180298,0.7529350519180298,7
21,619951,2,0,2,0.5852720737457275,90,8824,150,MC,Jude Bellingham,a,0,0,0,0,0,0,0,0.7314184904098511,0.14614643156528473,9
22,619949,0,0,2,0.04963652417063713,65,2369,150,MC,Toni Kroos,a,0,0,619954,0,2,0,0.06411179155111313,0.11374831944704056,0.09033679217100143,9
23,619950,0,0,2,0.048583514988422394,90,6241,150,MC,Federico Valverde,a,0,0,0,0,1,0,0.06460857391357422,0.8909626007080078,0.7930763363838196,9
24,619952,0,0,2,0.08085454255342484,90,7008,150,FW,Vinícius Júnior,a,0,0,619957,0,2,0,0.03650946915149689,0.7033301591873169,0.6241089701652527,15
25,619953,0,0,1,0.06460857391357422,65,8015,150,FW,Rodrygo,a,0,0,619956,0,1,0,0.05580964311957359,0.19343464076519012,0.07301642000675201,15
26,619954,0,0,0,0,25,2250,150,Sub,Luka Modric,a,0,0,0,619949,1,1,0.5702791810035706,0.5833771228790283,0.5833771228790283,17
27,619957,0,0,0,0,1,2253,150,Sub,Lucas Vázquez,a,0,0,0,619952,0,0,0,0,0,17
28,619955,0,0,0,0,36,7359,150,Sub,Eduardo Camavinga,a,0,0,0,619947,2,0,0.051269903779029846,0.6628413200378418,0.6628413200378418,17
29,619956,0,0,1,0.05323920026421547,25,866,150,Sub,Joselu,a,0,0,0,619953,0,0,0,0.05323920026421547,0,17
